Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,N/A,FH 2,FH 3,Demo flights,logistics,Crewed missions,Commercial satellites,Scientific satellites,Military satellites,Rideshares,Current,In development,Retired,Cancelled,Spacecraft,Cargo,Crewed,Test vehicles,Unflown,Orbital,Atmospheric,Landing sites,Other facilities,Support,Contracts,R&D programs,Key people,Related,General,People,Vehicles,Launches by rocket type,Launches by spaceport,"Agencies, companies and facilities",Other mission lists and timelines,Version Booster,Booster landing,Date,Time
33,KSC,NROL-76,C,LEO,NRO,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT,Success,1 May 2017,1 May 2017
34,KSC,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT,No attempt,15 May 2017,15 May 2017
35,KSC,SpaceX CRS-11,"2,708 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT,Success,3 June 2017,3 June 2017
36,KSC,BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FTB1029.2,Success,23 June 2017,23 June 2017
37,VAFB,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT,Success,25 June 2017,25 June 2017
38,KSC,Intelsat 35e,"6,761 kg",GTO,Intelsat,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT,No attempt,5 July 2017,5 July 2017
39,KSC,SpaceX CRS-12,"3,310 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4,Success,14 August 2017,14 August 2017
40,VAFB,Formosat-5,475 kg,SSO,NSPO,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT,Success,24 August 2017,24 August 2017
41,KSC,Boeing X-37B,"4,990 kg",LEO,USAF,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4,Success,7 September 2017,7 September 2017
42,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4,Success,9 October 2017,9 October 2017
43,KSC,SES-11,"5,200 kg",GTO,SES S.A.,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FTB1031.2,Success,11 October 2017,11 October 2017
